Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Obesity,pain and catatonia and snore and pain chest,Lovastatin,Lochol Tablet and 10mg and 10 capsules,25.0,HMG-CoA reductase inhibitor,Weakness,normal,1
Obesity,pain chest and shortness of breath,Acetazolamide,Rasilez (300 mg) Tablet 300mg and 7 Tablets,408.5,primary hyper tension,headache,normal,1
Obesity,shortness of breath and pain chest and asthenia,Chlorpropamide,Diabinese Tablet 100mg and 10 Tablets,2.65,prescribed for type 2 diabetes,Dizziness and headache,normal,1
Obesity,wheezing and cough,Acebrophylline,ACEBROFACT Capsule and 100mg,66.5,swelling and narrowing,Respiratory,bad,0
Obesity,fever and vomiting,Lupisetron plus,Lupisetron plus and 4/500mg 10 Tablets,81.0,Headache and dizziness.,Fever and weakness,normal,1
Obesity,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,96.0,prescribed for depression,blurred vision,bad,0
Obesity,orthopnea and fatigue and dyspnea on exertion,Digoxin,Digitran 250 Capsule and Tablet and 0.25mg 11,6.0,prescribed for congestive heart faliure,Loss of appetite and vomiting.,bad,0
Obesity,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg) Tablet and 1mg and 10 Tablets,45.0,prescribed for preventing ulcers,problem in sleeping,normal,1
Obesity,Ampicillin and Sulbactam,Digoxin,Sulbacin Tablet and 220/147mg and 10 Tablets,417.0,prescribed for susceptible bacterial infections like skin infections,"vomiting, gas, nausea, and diarrhea",bad,0
Obesity,guaiac positive and monoclonal,Darbeponetin alfa,Cresp PFS 20mcg and 1 Vial,200.0,chronic kidney disease,cough,normal,1
hypertensive disease,pain and catatonia and snore and pain chest,Lovastatin,Lochol Tablet and 10mg and 10 capsules,25.0,HMG-CoA reductase inhibitor,Weakness,normal,1
hypertensive disease,pain chest and shortness of breath,Acetazolamide,Rasilez (300 mg) Tablet 300mg and 7 Tablets,408.5,primary hyper tension,headache,normal,1
hypertensive disease,shortness of breath and pain chest and asthenia,Chlorpropamide,Diabinese Tablet 100mg and 10 Tablets,2.65,prescribed for type 2 diabetes,Dizziness and headache,normal,1
hypertensive disease,wheezing and cough,Acebrophylline,ACEBROFACT Capsule and 100mg,66.5,swelling and narrowing,Respiratory,bad,0
