Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Obesity,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25.0,prescribed for high cholesterol and triglycerides, Weakness,normal,1
hypertensive disease,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120.0,primary hyper tension,headache,normal,1
Diabetes,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500.0,prescribed for type 2 diabetes,dry rogh skin,normal,1
Asthma,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
dehydration,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81.0,Headache and dizziness.,Central Nervous System,bad,0
Depression,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14.0, prescribed for anxiety and panic disorders.,heart block,bad,0
failure heart,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
ulcer peptic,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,prescribed for preventing ulcers,loss of appetite,bad,0
pneumonia,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Anemia,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,200.0,iron deficiency anemia,cough,normal,1
Obesity,pain and vomiting and out of breath and pain chest,Lovastatin,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0, prescribed for anxiety and panic disorders.,heart block,bad,0
hypertensive disease,feeling suicidal and feeling hopeless,Acetazolamide,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
Obesity,orthopnea and fatigue and dyspnea on exertion,Chlorpropamide,Abonyl Capsule and 100 mg and 10 capsules,200.0,prescribed for preventing ulcers,loss of appetite,bad,0
hypertensive disease,pain and vomiting and out of breath and pain chest,Bacampicillin ,PRINIVIL 5mg and 10mg and 20 mg tablets,120.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Diabetes,Ampicillin and Sulbactam,Darbeponetin alfa,K -Carb Tablet and 25mg and 10 Tablets,500.0,iron deficiency anemia,cough,normal,1
Asthma,guaiac positive and monoclonal,Bacampicillin ,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
dehydration,pain chest and shortness of breath,Acetazolamide,"Lupisetron plus  and 4/500mg,10 Tablets",81.0,Headache and dizziness.,Central Nervous System,bad,0
Diabetes,shortness of breath and pain chest and asthenia,Chlorpropamide,Oxamine (100mg) and100mg and 11,14.0, prescribed for anxiety and panic disorders.,heart block,bad,0
Asthma,wheezing and cough,Etofylline,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
dehydration,feeling suicidal and feeling hopeless,ondansetron,"Digitran - 250  Capsule and Tablet and 0.25mg,12",9.0,prescribed for preventing ulcers,loss of appetite,bad,0
Depression,orthopnea and fatigue and dyspnea on exertion,Amoxapine,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
failure heart,pain and vomiting and out of breath and pain chest,Digoxin,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,iron deficiency anemia,cough,normal,1
ulcer peptic,Ampicillin and Sulbactam,Glycopyrrolate,Abonyl Capsule and 100 mg and 10 capsules,200.0,asthma and chronic,Respiratory,bad,0
pneumonia,guaiac positive and monoclonal,Lovastatin,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,Headache and dizziness.,Central Nervous System,bad,0
Anemia,pain chest and shortness of breath,Acetazolamide,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0, prescribed for anxiety and panic disorders.,heart block,bad,0
Diabetes,shortness of breath and pain chest and asthenia,Chlorpropamide,Abonyl Capsule and 100 mg and 10 capsules,200.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
Asthma,wheezing and cough,Bacampicillin ,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,prescribed for preventing ulcers,loss of appetite,bad,0
dehydration,pain and vomiting and out of breath and pain chest,Darbeponetin alfa,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Asthma,pain and vomiting and out of breath and pain chest,Bacampicillin ,PRINIVIL 5mg and 10mg and 20 mg tablets,120.0,iron deficiency anemia,cough,normal,1
Asthma,feeling suicidal and feeling hopeless,Bacampicillin ,K -Carb Tablet and 25mg and 10 Tablets,500.0,iron deficiency anemia,cough,normal,1
Diabetes,orthopnea and fatigue and dyspnea on exertion,Acetazolamide,ACEBROFACT  Capsule and 100mg,66.5,primary hyper tension,headache,normal,1
Asthma,pain and vomiting and out of breath and pain chest,Chlorpropamide,"Lupisetron plus  and 4/500mg,10 Tablets",81.0,prescribed for type 2 diabetes,dry rogh skin,normal,1
dehydration,Ampicillin and Sulbactam,Etofylline,Oxamine (100mg) and100mg and 11,14.0,asthma and chronic,Respiratory,bad,0
Depression,guaiac positive and monoclonal,ondansetron,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9.0,Headache and dizziness.,Central Nervous System,bad,0
failure heart,pain chest and shortness of breath,Amoxapine,"Digitran - 250  Capsule and Tablet and 0.25mg,11",23.0, prescribed for anxiety and panic disorders.,heart block,bad,0
ulcer peptic,shortness of breath and pain chest and asthenia,Digoxin,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
pneumonia,wheezing and cough,Glycopyrrolate,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,prescribed for preventing ulcers,loss of appetite,bad,0
Anemia,pain chest and shortness of breath,Bacampicillin ,Abonyl Capsule and 100 mg and 10 capsules,200.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
hypertensive disease,shortness of breath and pain chest and asthenia,Darbeponetin alfa,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,iron deficiency anemia,cough,normal,1
hypertensive disease,wheezing and cough,Lovastatin,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0, prescribed for anxiety and panic disorders.,heart block,bad,0
Obesity,pain and vomiting and out of breath and pain chest,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
hypertensive disease,feeling suicidal and feeling hopeless,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500.0,prescribed for preventing ulcers,loss of appetite,bad,0
Obesity,orthopnea and fatigue and dyspnea on exertion,Bacampicillin ,ACEBROFACT  Capsule and 100mg,66.5,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Obesity,pain and vomiting and out of breath and pain chest,Acetazolamide,"Lupisetron plus  and 4/500mg,10 Tablets",81.0,iron deficiency anemia,cough,normal,1
Diabetes,Ampicillin and Sulbactam,Chlorpropamide,Oxamine (100mg) and100mg and 11,14.0,Headache and dizziness.,Central Nervous System,bad,0
Asthma,guaiac positive and monoclonal,Etofylline,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9.0, prescribed for anxiety and panic disorders.,heart block,bad,0
dehydration,pain chest and shortness of breath,ondansetron,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12.0,heart attak and fever,Loss of appetite and vomiting.,bad,0
Depression,shortness of breath and pain chest and asthenia,Amoxapine,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,prescribed for preventing ulcers,loss of appetite,bad,0
failure heart,wheezing and cough,Digoxin,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82.0,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
ulcer peptic,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Abonyl Capsule and 100 mg and 10 capsules,200.0,iron deficiency anemia,cough,normal,1
pneumonia,feeling suicidal and feeling hopeless,Bacampicillin ,PRINIVIL 5mg and 10mg and 20 mg tablets,120.0,prescribed for type 2 diabetes,dry rogh skin,normal,1
Anemia,orthopnea and fatigue and dyspnea on exertion,Darbeponetin alfa,K -Carb Tablet and 25mg and 10 Tablets,500.0,asthma and chronic,Respiratory,bad,0
