Disease,Symptoms,Tablet,Compositions,Price,Medicine usage,side effect,sevearity,Sevearity values
Obesity,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25,prescribed for high cholesterol and triglycerides, Weakness,normal,1
Obesity,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120,primary hyper tension,headache,normal,1
Obesity,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500,prescribed for type 2 diabetes,dry rogh skin,normal,1
Obesity,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
Obesity,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81,Headache and  dizziness.,Central Nervous System,bad,0
Obesity,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14, prescribed for anxiety and panic disorders.,heart block,bad,0
Obesity,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9,heart attak and fever,Loss of appetite and vomiting.,bad,0
Obesity,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12,prescribed for preventing ulcers,loss of appetite,bad,0
Obesity,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Obesity,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,200,iron deficiency anemia,cough,normal,1
hypertensive disease,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25,prescribed for high cholesterol and triglycerides, Weakness,normal,1
hypertensive disease,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120,primary hyper tension,headache,normal,1
hypertensive disease,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500,prescribed for type 2 diabetes,dry rogh skin,normal,1
hypertensive disease,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
hypertensive disease,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81,Headache and  dizziness.,Central Nervous System,bad,0
hypertensive disease,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14, prescribed for anxiety and panic disorders.,heart block,bad,0
hypertensive disease,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9,heart attak and fever,Loss of appetite and vomiting.,bad,0
hypertensive disease,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12,prescribed for preventing ulcers,loss of appetite,bad,0
hypertensive disease,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
hypertensive disease,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,200,iron deficiency anemia,cough,normal,1
Diabetes,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25,prescribed for high cholesterol and triglycerides, Weakness,normal,1
Diabetes,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120,primary hyper tension,headache,normal,1
Diabetes,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500,prescribed for type 2 diabetes,dry rogh skin,normal,1
Diabetes,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
Diabetes,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81,Headache and  dizziness.,Central Nervous System,bad,0
Diabetes,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14, prescribed for anxiety and panic disorders.,heart block,bad,0
Diabetes,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9,heart attak and fever,Loss of appetite and vomiting.,bad,0
Diabetes,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12,prescribed for preventing ulcers,loss of appetite,bad,0
Diabetes,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Diabetes,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,200,iron deficiency anemia,cough,normal,1
Asthma,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25,prescribed for high cholesterol and triglycerides, Weakness,normal,1
Asthma,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120,primary hyper tension,headache,normal,1
Asthma,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500,prescribed for type 2 diabetes,dry rogh skin,normal,1
Asthma,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
Asthma,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81,Headache and  dizziness.,Central Nervous System,bad,0
Asthma,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14, prescribed for anxiety and panic disorders.,heart block,bad,0
Asthma,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9,heart attak and fever,Loss of appetite and vomiting.,bad,0
Asthma,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12,prescribed for preventing ulcers,loss of appetite,bad,0
Asthma,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
Asthma,guaiac positive and monoclonal,Darbeponetin alfa,Abonyl Capsule and 100 mg and 10 capsules,200,iron deficiency anemia,cough,normal,1
dehydration,pain and catatonia and snore and pain chest,Lovastatin,Capsule 300mg and 10 Capsules,25,prescribed for high cholesterol and triglycerides, Weakness,normal,1
dehydration,pain chest and shortness of breath,Acetazolamide,PRINIVIL 5mg and 10mg and 20 mg tablets,120,primary hyper tension,headache,normal,1
dehydration,shortness of breath and pain chest and asthenia,Chlorpropamide,K -Carb Tablet and 25mg and 10 Tablets,500,prescribed for type 2 diabetes,dry rogh skin,normal,1
dehydration,wheezing and cough,Etofylline,ACEBROFACT  Capsule and 100mg,66.5,asthma and chronic,Respiratory,bad,0
dehydration,fever and vomiting,ondansetron,"Lupisetron plus  and 4/500mg,10 Tablets",81,Headache and  dizziness.,Central Nervous System,bad,0
dehydration,feeling suicidal and feeling hopeless,Amoxapine,Oxamine (100mg) and100mg and 11,14, prescribed for anxiety and panic disorders.,heart block,bad,0
dehydration,orthopnea and fatigue and dyspnea on exertion,Digoxin,"Digitran - 250  Capsule and Tablet and 0.25mg,11",9,heart attak and fever,Loss of appetite and vomiting.,bad,0
dehydration,pain and vomiting and out of breath and pain chest,Glycopyrrolate,Glycolate (1 mg)  Tablet   and 1mg and 10 Tablets,12,prescribed for preventing ulcers,loss of appetite,bad,0
dehydration,Ampicillin and Sulbactam,Bacampicillin ,Sulbacin  Tablet  and 220/147mg and 10 Tablets,82,prescribed for susceptible bacterial infections like skin infections,intestinal inflammation,bad,0
